2026-08-07 07:30:09,814 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXETH15M&status=settled&limit=20 "HTTP/1.1 200 OK"
2026-08-07 07:30:10,889 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-08-07 07:30:10,979 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 134 outcomes from candles for BTC
2026-08-07 07:30:11,107 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-08-07 07:30:11,601 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 133 outcomes from candles for ETH
2026-08-07 07:30:11,607 | INFO     | arbitr8der_package.data_sources.ingestion_orchestrator | Triggering periodic background model retraining...
2026-08-07 07:30:11,616 | INFO     | arbitr8der_package.prediction.macro_prediction_model | FrequencyLookup trained on 77 samples, 20 unique groups
2026-08-07 07:30:12,232 | INFO     | arbitr8der_package.prediction.macro_prediction_model | LightGBM trained on 77 samples, val accuracy: 81.2%
2026-08-07 07:30:12,236 | INFO     | arbitr8der_package.prediction.micro_prediction_model | MomentumLookup trained on 77 samples, 1 unique groups
2026-08-07 07:30:12,244 | INFO     | arbitr8der_package.prediction.micro_prediction_model | LogisticRegression trained on 77 samples, train accuracy: 88.3%
2026-08-07 07:30:12,247 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Retrained BTC models on 77 samples — freq_groups=20, lgbm_trained=True
2026-08-07 07:30:12,249 | INFO     | arbitr8der_package.prediction.macro_prediction_model | FrequencyLookup trained on 82 samples, 18 unique groups
2026-08-07 07:30:12,251 | ERROR    | arbitr8der_package.data_sources.ingestion_orchestrator | Scoring engine error: float() argument must be a string or a real number, not 'NoneType'
2026-08-07 07:30:13,374 | INFO     | httpx | HTTP Request: GET https://gamma-api.polymarket.com/markets?active=true&closed=false&tag=crypto "HTTP/1.1 200 OK"
2026-08-07 07:30:13,384 | INFO     | arbitr8der_package.data_sources.polymarket_sentiment_analysis_poller | Found 0 BTC markets on Polymarket
2026-08-07 07:30:15,112 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXBTC15M&status=closed&limit=20 "HTTP/1.1 200 OK"
2026-08-07 07:30:20,438 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXETH15M&status=closed&limit=20 "HTTP/1.1 200 OK"
2026-08-07 07:30:21,338 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-08-07 07:30:21,447 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-08-07 07:30:25,761 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 134 outcomes from candles for BTC
2026-08-07 07:30:26,695 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 133 outcomes from candles for ETH
